,id,pheromone_log2
1,614_f_10,9.03562391
2,614_f_21,-0.983186689
3,614_f_23,-1.055951151
4,614_f_24,5.403197792
5,614_f_25,-0.586188136
6,614_f_302,-0.099870561
7,614_f_304,-1.287825899
8,614_f_4,8.343954401
9,614_f_51,-1.722538523
10,614_f_54,NA
11,614_f_56,NA
12,614_f_57,-3.523256935
13,614_f_6,7.012849781
14,614_f_60,NA
15,614_f_71,5.332379131
16,614_f_72,7.595371206
17,614_f_76,9.130570563
18,614_f_82,-0.967439427
19,614_f_86,7.899623488
20,614_f_90,-0.945379566
21,614_m_10,9.043027284
22,614_m_12,5.304287936
23,614_m_13,6.759242811
24,614_m_14,7.909493113
25,614_m_155,7.152054325
26,614_m_156,8.59973577
27,614_m_16,4.635635683
28,614_m_17,6.121533517
29,614_m_19,4.788834834
30,614_m_2,4.575785854
31,614_m_22,5.984158101
32,614_m_221,5.943267562
33,614_m_222,8.983400828
34,614_m_223,8.859340654
35,614_m_24,6.805922967
36,614_m_25,5.601962853
37,614_m_26,7.422233001
38,614_m_310,4.111106357
39,614_m_311,5.733430194
40,614_m_341,6.243663387
41,614_m_342,6.480218396
42,614_m_344,7.808360915
43,614_m_350,6.344340746
44,614_m_46,6.179565959
45,614_m_49,5.949626478
46,614_m_5,NA
47,614_m_66,7.760181802
48,614_m_8,4.361810886
49,614_fem_6-11-15,NA
50,614_male_6-11-15,NA
51,210_fem_6-11-15,NA
52,210_male_6-11-15,NA
